source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,bit_vector,verify,12,bit_vector/verify/12,bit_vector/verify/12,100,306363.5781880543,304973.3831137088,307741.78432269645
aws,bit_vector,verify,16,bit_vector/verify/16,bit_vector/verify/16,100,362641.6075909157,360868.7288702283,364528.2002179966
aws,bit_vector,verify,24,bit_vector/verify/24,bit_vector/verify/24,100,480421.75337410875,478536.44606603537,482242.71579734463
aws,bit_vector,verify,32,bit_vector/verify/32,bit_vector/verify/32,100,613499.1677437159,610860.8682497911,616337.6433743709
aws,bit_vector,verify,4,bit_vector/verify/4,bit_vector/verify/4,100,193740.6745769565,192621.9124995884,194907.54699857958
aws,bit_vector,verify,48,bit_vector/verify/48,bit_vector/verify/48,100,876621.3435641116,873175.5501728652,880109.8604946876
aws,bit_vector,verify,5,bit_vector/verify/5,bit_vector/verify/5,100,206291.0470836914,205406.13086659941,207231.14151999174
aws,bit_vector,verify,64,bit_vector/verify/64,bit_vector/verify/64,100,1130749.8892509218,1126193.1015457588,1135526.6820251315
aws,bit_vector,verify,8,bit_vector/verify/8,bit_vector/verify/8,100,248599.36638352464,247514.6846046382,249735.0544001871
aws,commitment_set,prove,N=1024,commitment_set/prove/N=1024,commitment_set/prove/N=1024,20,47164816.528187916,47041447.620444626,47309341.152978174
aws,commitment_set,prove,N=1024_n4,commitment_set/prove/N=1024_n4,commitment_set/prove/N=1024_n4,20,22938674.549009904,22893158.12832261,22988761.388054453
aws,commitment_set,prove,N=16,commitment_set/prove/N=16,commitment_set/prove/N=16,20,1163758.0888516107,1157755.2633438462,1170257.99252037
aws,commitment_set,prove,N=256,commitment_set/prove/N=256,commitment_set/prove/N=256,20,13385072.010955058,13338742.870854402,13433489.341889046
aws,commitment_set,prove,N=256_n4,commitment_set/prove/N=256_n4,commitment_set/prove/N=256_n4,20,7123017.224742797,7104771.3358094115,7143571.400459106
aws,commitment_set,prove,N=4,commitment_set/prove/N=4,commitment_set/prove/N=4,20,463162.777503251,461796.7684242139,464724.89793886256
aws,commitment_set,prove,N=4096,commitment_set/prove/N=4096,commitment_set/prove/N=4096,20,173054340.78375,172743291.4930563,173415075.7950875
